paper,year,venue,link,doi,pdf,model,language,dataset,baseline,metrics,main_result,limitation
"SS014 - AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5",2025,IEEE Access,https://ieeexplore.ieee.org/document/11269709/,10.1109/ACCESS.2025.3637221,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11269709,"GPT-4o, Gemini 1.5 Pro, Claude 3.5 Sonnet",Java,HumanEval,"Randoop, Single-LLM configurations","branch coverage, line coverage, mutation score","Gemini + GPT-4o chaining achieved 99.05% branch coverage and 94.32% mutation score, outperforming Randoop and single-LLMs.","Evaluated only on HumanEval dataset, which consists of small, self-contained functions."
SS032 - Automatic Unit Test Generation for Programming Assignments Using Large Language Models,2025,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&T),https://ieeexplore.ieee.org/document/11024401/,10.1109/CSEET66350.2025.00031,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11024401,GPT-4o-mini,Java,6 student programming assignments (HPI),Plain GPT-4o-mini (without prompt augmentation),"statement coverage, mutation score, compilation success rate",Augmented GPT-4o-mini approach improved statement coverage and mutation scores by 1.7x and 2.1x respectively compared to vanilla setting.,Evaluated on a small number of programming assignments (6 tasks) in an educational context.
SS040 - Benchmarking LLMs for Unit Test Generation from Real-World Functions,2026,ACM Transactions on Software Engineering and Methodology,https://dl.acm.org/doi/10.1145/3805043,10.1145/3805043,https://arxiv.org/abs/2508.00408,"GPT-4, GPT-3.5, Claude 3, Llama 3, DeepSeek",Java,UnLeakedTestBench (ULT),"EvoSuite, ChatTester, CoverUp","line coverage, branch coverage, mutation score","ULT benchmark mitigates data leakage, showing that GPT-4 achieves 74% coverage and 58% mutation score on real-world complex functions.",Evaluation budget is high due to multiple API calls required to generate and refine tests.
SS047 - Clarifying Semantics of In-Context Examples for Unit Test Generation,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),https://ieeexplore.ieee.org/document/11334234/,10.1109/ASE63991.2025.00250,https://arxiv.org/abs/2510.01994,"GPT-4, GPT-3.5, Claude 3",Java,Defects4J and industrial projects,"UTgen, developer-written tests","compilation success rate (CSR), pass rate (PR), line coverage, mutation score","CLAST refines tests to improve semantic clarity, increasing downstream compilation rate by 26% and coverage by 46% while preserving mutation scores.",Rewriting relies on LLM-based parsing which can occasionally introduce compilation errors.
SS080 - Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek,2025,Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025),https://sol.sbc.org.br/index.php/sbqs/article/view/39001,10.5753/sbqs.2025.13792,https://sol.sbc.org.br/index.php/sbqs/article/view/39001,"GPT-4o, DeepSeek V3",Java,Defects4J (6 classes),"EvoSuite, developer-written tests","mutation score, mutant coverage, mutant elimination",GPT-4o outperforms DeepSeek V3 in generating unit tests that kill more mutants across different levels of cyclomatic complexity.,"Evaluated on a small number of Defects4J classes (6 classes), which may limit generalizability."
SS109 - Hallucination to Consensus: Multi-Agent LLMs for End-to-End JUnit Test Generation,2026,ACM Transactions on Software Engineering and Methodology,https://dl.acm.org/doi/10.1145/3803418,10.1145/3803418,https://arxiv.org/abs/2506.02943,"GPT-4, GPT-3.5",Java,"HumanEvalJava, LeetCodeJava","EvoSuite, TOGLL, EVO-CANDOR","compilation rate, pass rate, branch coverage, mutation score",Multi-agent consensus framework significantly reduces hallucinations and generates JUnit tests with coverage and mutation scores comparable to human tests.,Multi-agent panel consensus requires high API costs and execution overhead.
SS119 - IntelliUnitGen: A Unit Test Case Generation Framework Based on the Integration of Static Analysis and Prompt Learning,2025,IEEE Access,https://ieeexplore.ieee.org/document/11184836/,10.1109/ACCESS.2025.3615990,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11184836,"GPT-4, GPT-3.5, LLaMA, DeepSeek",Java,"Open-source Java projects (e.g., Commons-CLI, Gson)","EvoSuite, vanilla LLM","line coverage, branch coverage, mutation score","Integrating static analysis with prompt learning improves branch coverage and mutation scores, outperforming EvoSuite and vanilla LLMs.",Dependency on static analysis limits framework to languages with mature parsing tools.
SS131 - Leveraging Long Method Decomposition to Improve Large Language Model-Based Test Case Generation,2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",https://ieeexplore.ieee.org/document/11343523/,10.1109/SMC58881.2025.11343523,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11343523,"GPT-4, GPT-3.5",Java,DecoTest benchmark (real-world Java projects),"EvoSuite, vanilla LLM","line coverage, branch coverage, mutation score","Method decomposition (DecoTest) improves LLM test generation for long methods, achieving 23% higher branch coverage than EvoSuite.",Method decomposition might not be applicable to highly coupled methods that cannot be easily refactored.
SS137 - LLMLOOP: Improving LLM-Generated Code and Tests Through Automated Iterative Feedback Loops,2025,2025 IEEE International Conference on Software Maintenance and Evolution (ICSME),https://ieeexplore.ieee.org/document/11185878/,10.1109/ICSME64153.2025.00109,https://arxiv.org/abs/2603.23613,"GPT-4, GPT-4o, GPT-4o-mini","Java, Python",HumanEval-X,"Vanilla LLM, single-pass generation","compilation rate, pass rate, branch coverage, mutation score","Automated iterative feedback loops (LLMLOOP) refine generated code and tests, achieving a 14% improvement in pass rate and higher mutation scores.",Iterative feedback loops can consume significant API tokens and build time.
SS139 - LLMs for Automated Unit Test Generation and Assessment in Java: The AgoneTest Framework,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),https://ieeexplore.ieee.org/document/11334272/,10.1109/ASE63991.2025.00198,https://arxiv.org/abs/2511.20403,"GPT-4, GPT-3.5, Llama 3",Java,CLASSES2TEST,"EvoSuite, standard LLM prompts","line coverage, branch coverage, mutation score, test smells","AgoneTest provides a standardized evaluation of LLMs, showing that GPT-4 achieves the highest mutation scores and lowest test smell rates.","Benchmark dataset CLASSES2TEST is limited to Java, and framework is language-specific."
