id,title,authors,year,venue,database,v1_decision,v2_decision,v2_reason
IEEE001,What Inputs Drive Effective Large Language Model-Based Unit Test Generation?,"Saarang Agarwal, Pengyu Nie, Meiyappan Nagappan",2026.0,IEEE Software,IEEE Xplore,INCLUDE,INCLUDE,IC-E: Provides extensive baseline quantitative input vectors for Java unit suites
IEEE002,Automatic Unit Test Code Generation Using Large Language Models,"Akdeniz Kutay Öçal, Mehmet Keskinöz",2024.0,2024 32nd Signal Processing and Communications Applications Conference (SIU),IEEE Xplore,INCLUDE,EXCLUDE,EC-N - Contains highly conceptual frameworks missing concrete code mutation benchmarks
IEEE003,Mutation-Guided Unit Test Generation With a Large Language Model,"Guancheng Wang, Qinghua Xu, Lionel Briand, Kui Liu",2026.0,IEEE Transactions on Software Engineering,IEEE Xplore,INCLUDE,INCLUDE,IC-E: Primary benchmark source reporting mutation score baselines and fault isolation
IEEE004,CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,"Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",2023.0,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),IEEE Xplore,INCLUDE,INCLUDE,IC-E: Essential core literature breaking coverage plateaus with localized structural prompts
IEEE005,A System for Automated Unit Test Generation using Large Language Models and Assessment of Generated Test Suites,"Andrea Lops, Fedelucio Narducci, Azzurra Ragone, Michelantonio Trizio, Claudio Bartolini",2025.0,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",IEEE Xplore,INCLUDE,EXCLUDE,EC-S - Short workshop publication with severely constrained sample boundaries (< 4 pages)
IEEE006,From Heuristics to Intelligence: Large Language Model-Driven Test Case Generation,"Antonio Mastropaolo, Rick Kuhn, Jeffrey Voas",2025.0,Computer,IEEE Xplore,INCLUDE,EXCLUDE,EC-N - High-level vision paper emphasizing abstract black-box test methodologies without source execution data
IEEE007,Automatic Unit Test Generation for Programming Assignments Using Large Language Models,"Kaisheng Zheng, Yuanyang Shen, Yida Tao",2025.0,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&T),IEEE Xplore,INCLUDE,EXCLUDE,EC-N - Discusses pedagogical interface installations without reporting empirical code semantic mutations
IEEE008,Evaluating the Effectiveness of Large Language Models in Automated Unit Test Generation,"Tharindu Godage, Sivaraj Nimishan, Shanmuganathan Vasanthapriyan, Vigneshwaran Palanisamy, Charles Joseph, Selvarajah Thuseethan",2025.0,2025 5th International Conference on Advanced Research in Computing (ICARC),IEEE Xplore,INCLUDE,EXCLUDE,EC-S - Bounded regional conference paper presenting redundant zero-shot prompt structures
IEEE009,A Python Unit Test Generation Method Based on Fine-Tuned Language Models and Coverage,"Jianlin Long, Renchao Qin, Zujun Jiang, Jialin Duan, Suonan Li, Xiaosheng Qu",2025.0,"2025 18th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",IEEE Xplore,INCLUDE,EXCLUDE,EC-S - Short industrial track report presenting primitive block analysis frameworks
IEEE010,Evaluation of Large Language Models for Unit Test Generation,"Metin Konuk, Cem Baglum, Ugur Yayan",2024.0,2024 Innovations in Intelligent Systems and Applications Conference (ASYU),IEEE Xplore,INCLUDE,EXCLUDE,EC-N - Relies purely on subjective manual code inspection indicators without dynamic runtime verification
IEEE011,Navigating the Labyrinth: Path-Sensitive Unit Test Generation with Large Language Models,"Dianshu Liao, Xin Yin, Shidong Pan, Chao Ni, Zhenchang Xing, Xiaoyu Sun",2025.0,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE Xplore,INCLUDE,INCLUDE,IC-E: Delivers continuous mathematical metrics on complex path-sensitive test dependencies
IEEE012,Leveraging Large Language Models for Context-Aware Test Case Generation in Multi-Component Systems,Farinu Uthman Ayomide,2025.0,TechRxiv,IEEE Xplore,INCLUDE,EXCLUDE,EC-N - Pre-print draft missing peer-reviewed experimental matrices and execution benchmarks
IEEE014,Enhancing Diffusion-Driven Test Input Generation using Large Language Model,"Joonwoo Lee, Seungho Kim, Scott Uk-Jin Lee",2025.0,2025 32nd Asia-Pacific Software Engineering Conference (APSEC),IEEE Xplore,INCLUDE,EXCLUDE,EC-O - Diverges significantly into generative diffusion algorithms for UI inputs rather than functional structural code testing
IEEE015,Leveraging Long Method Decomposition to Improve Large Language Model-Based Test Case Generation,"Rongzhi Qi, Zhiyu Shen, Yadi Li",2025.0,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",IEEE Xplore,INCLUDE,EXCLUDE,EC-S - Truncated publication providing restricted statistical validation metrics on long method splits
IEEE016,Large Language Model-Enhanced Test Case Generation*,"Qi Zhang, Rui Kang, Yitian Liu, Xiayu Cao",2025.0,"2025 4th International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)",IEEE Xplore,INCLUDE,EXCLUDE,EC-N - Generic engineering documentation displaying high structural redundancy and zero statistical testing
IEEE017,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,"Dimitrije Stojanović, Bogdan Pavković, Nenad Četić, Momčilo Krunić, Luka Vidaković",2024.0,2024 32nd Telecommunications Forum (TELFOR),IEEE Xplore,INCLUDE,EXCLUDE,EC-S - Extended abstract focusing heavily on continuous documentation generation rather than execution logs
IEEE018,AI-Driven Test Case Generation Based on DeepSeek-Chat Large-Language Model,"Na Li, Yimei Xu, Jiafan Luo, Jiaxin Fang",2025.0,2025 5th International Symposium on Computer Technology and Information Science (ISCTIS),IEEE Xplore,INCLUDE,EXCLUDE,EC-N - Preliminary exploratory report omitting quantitative control values and error evaluation tracking
IEEE019,Automated Structural Test Case Generation for Human-Computer Interaction Software Based on Large Language Model,"Long Kang, Jun Ai, Minyan Lu",2024.0,2024 11th International Conference on Dependable Systems and Their Applications (DSA),IEEE Xplore,INCLUDE,EXCLUDE,EC-O - Targets specialized front-end HCI visual component properties instead of back-end logical assertions
IEEE025,Leveraging Large Language Models for Python Unit Test,"Medlen Jiri, Bari Emese, Patrick Medlen",2024.0,2024 IEEE International Conference on Artificial Intelligence Testing (AITest),IEEE Xplore,INCLUDE,INCLUDE,IC-E: Provides extensive foundational multi-prompt metrics for dynamic Python execution scopes
