id,title,authors,year,venue,database,search_string,doi,url,abstract,notes
SS001,Mutation-Guided Unit Test Generation with a Large Language Model,"Guancheng Wang, Qinghua Xu, Lionel C. Briand, Kui Liu",2026,IEEE Transactions on Software Engineering,Semantic Scholar,String A,10.1109/TSE.2026.3682975,https://ieeexplore.ieee.org/document/10.1109/TSE.2026.3682975,"This paper proposes MutGen, a mutation-guided, LLM-based test generation approach that incorporates mutation feedback directly into the prompt that significantly outperforms both EvoSuite and vanilla prompt-based strategies in terms of mutation score.",Included PDF: https://arxiv.org/pdf/2506.02954
SS002,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,"Max Schäfer, Sarah Nadi, Aryaz Eghbali, Frank Tip",2024,IEEE Transactions on Software Engineering,Semantic Scholar,String A,10.1109/TSE.2023.3334955,https://arxiv.org/abs/2302.06527,A large-scale empirical evaluation on the effectiveness of large Language Models for automated unit test generation without requiring additional training or manual effort is presented.,Included PDF: https://arxiv.org/pdf/2302.06527
SS003,CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,"Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",2023,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),Semantic Scholar,String A,10.1109/ICSE48619.2023.00085,https://ieeexplore.ieee.org/document/10172800,"This paper explores whether Large Language Models of code, such as OpenAI's Codex, can be used to help SBST's exploration, and proposes CodaMosa, a proposed algorithm that conducts SBST until its coverage improvements stall, then asks Codex to provide example test cases for under-covered functions.",Included PDF: https://www.carolemieux.com/codamosa_icse23.pdf
SS004,Effective Test Generation Using Pre-trained Large Language Models and Mutation Testing,"Arghavan Moradi Dakhel, Amin Nikanjam, Vahid Majdinasab, Foutse Khomh, Michel C. Desmarais",2024,Information and Software Technology,Semantic Scholar,String A,10.1016/j.infsof.2024.107468,https://arxiv.org/abs/2308.16557,"This paper introduces MuTAP, which augments LLM prompts with surviving mutant information to iteratively improve test fault-detection. Achieves mutation score of 93.57% on synthetic buggy code; detects 28% more faulty code snippets than baseline approaches.",Included PDF: https://arxiv.org/pdf/2308.16557
SS005,ChatUniTest: A Framework for LLM-Based Test Generation,"Yinghao Chen, Zehao Hu, Chen Zhi, Junxiao Han, Shuiguang Deng, Jianwei Yin",2024,FSE Companion 2024 (ACM),Semantic Scholar,String A,10.1145/3663529.3663801,https://arxiv.org/abs/2305.04764,"ChatUniTest is presented, an LLM-based automated unit test generation framework that incorporates an adaptive focal context mechanism to encompass valuable context in prompts and adheres to a generation-validation-repair mechanism to rectify errors in generated unit tests.",Included PDF: https://arxiv.org/pdf/2305.04764
SS006,LLMs and Prompting for Unit Test Generation: A Large-Scale Evaluation,"Wendkûuni C. Ouédraogo, Kader Kabore, Haoye Tian, Yewei Song, Anil Koyuncu, Jacques Klein, David Lo, Tégawendé F. Bissyandé",2024,2024 IEEE/ACM International Conference on Automated Software Engineering (ASE),Semantic Scholar,String A,10.1145/3691620.3695330,https://dl.acm.org/doi/10.1145/3691620.3695330,"This study evaluates four LLMs and five prompt engineering techniques, analyzing 216 300 tests for 690 Java classes from diverse datasets to assess correctness, readability, coverage, and bug detection, comparing LLM-generated tests to EvoSuite.",Included PDF: https://hdl.handle.net/10993/64117
SS007,HITS: High-Coverage LLM-Based Unit Test Generation via Method Slicing,"Zejun Wang, Kaibo Liu, Ge Li, Zhi Jin",2024,2024 IEEE/ACM International Conference on Automated Software Engineering (ASE),Semantic Scholar,String A,10.1145/3691620.3695022,https://arxiv.org/abs/2408.11324,"This work decomposes the focal methods into slices and simplifies the analysis scope, making it easier for the LLM to cover more lines and branches in each slice, and significantly outperforms current test case generation methods with LLMs and the typical SBST method Evosuite regarding both line and branch coverage scores.",Included PDF: https://arxiv.org/pdf/2408.11324
SS008,CoverUp: Effective High Coverage Test Generation for Python,"Juan Altmayer Pizzorno, Emery D. Berger",2025,Proceedings of the ACM on Software Engineering (FSE 2025),Semantic Scholar,String A,10.1145/3729398,https://arxiv.org/abs/2403.16218,"This paper proposes CoverUp, a novel approach to driving the generation of high-coverage Python regression tests that combines coverage analysis, code context, and feedback in prompts that iteratively guide the LLM to generate tests that improve line and branch coverage.",Included PDF: https://arxiv.org/pdf/2403.16218
SS009,TestGenEval: A Real World Unit Test Generation and Test Completion Benchmark,"Kush Jain, Gabriel Synnaeve, Baptiste RoziÃ¨re",2025,ICLR 2025,Semantic Scholar,String A,10.48550/arXiv.2410.00752,https://arxiv.org/abs/2410.00752,"This work creates and releases TestGenEval, a large-scale benchmark to measure test generation performance, and evaluates several popular models, with sizes ranging from 7B to 405B parameters.",Included PDF: https://arxiv.org/pdf/2410.00752
SS010,TestSpark: IntelliJ IDEA's Ultimate Test Generation Companion,"Arkadii Sapozhnikov, Mitchell Olsthoorn, Annibale Panichella, Vladimir Kovalenko, Pouria Derakhshanfar",2024,ICSE Companion 2024 (IEEE/ACM),Semantic Scholar,String A,10.1145/3639478.3640024,https://arxiv.org/abs/2401.06580,"Test-Spark is introduced, a plugin for IntelliJ IDEA that enables users to generate unit tests with only a few clicks directly within their Integrated Development Environment (IDE) and introduces a technique to generate unit tests using Large Language Models (LLMs).",Included PDF: https://arxiv.org/pdf/2401.06580
SS011,"AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5","Chandan Kumar, Usha Sri Ponaka, P. V. L. N. Naidu, P. Bhuvaneswari, Mukesh Prasad, Sunil Kumar Singh",2025,IEEE Access,Semantic Scholar,String A,10.1109/ACCESS.2025.3637221,https://ieeexplore.ieee.org/document/11269709/,"This paper presents a novel method, LLM Chaining, that uses the collaboration of several LLMs, namely Gemini, GPT-4o, and Claude-3.5 Sonnet, to collaborate and iteratively enhance tests to enhance the accuracy and coverage of the produced tests.",Included PDF: https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=11269709&ref=
SS012,LLMTestCraft: An Automated Unit Test Case Generator using Large Language Models,"Jamal Abdullahi Nuh, T. W. Koh, Babangida Lawal, Adam Amril Jaharadak, Mohamed Ali",2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),Semantic Scholar,String A,10.1109/ICoDSE68111.2025.11351817,https://ieeexplore.ieee.org/document/11351817/,"Evaluation results across diverse Python functions demonstrate that LLMTestCraft consistently generates semantically accurate and meaningful test cases with a 92.6 % correctness rate, a significant advancement in AI-assisted software testing.",
SS013,LLMs for Automated Unit Test Generation and Assessment in Java: The AgoneTest Framework,"Andrea Lops, Fedelucio Narducci, Azzurra Ragone, Michelantonio Trizio, Claudio Bart",2025,2025 IEEE/ACM International Conference on Automated Software Engineering (ASE),Semantic Scholar,String A,10.1109/ASE63991.2025.00198,https://ieeexplore.ieee.org/document/11334272/,"An automated evaluation framework for Large Language Model-generated unit tests in Java that clarifies the potential of LLMs in software testing and offers insights for future improvements in model design, prompt engineering, and testing practices is introduced.",Included PDF: https://arxiv.org/pdf/2511.20403
SS014,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Junwei Zhang, Xing Hu, Cuiyun Gao, Xin Xia, Shanping Li",2026,ACM Transactions on Software Engineering and Methodology,Semantic Scholar,String A,10.1145/3802827,https://dl.acm.org/doi/10.1145/3802827,"A systematic literature review of LLM-based unit test generation reveals that Decoder-only LLMs, particularly GPT-family and LLaMA-based models, dominate the field, while encoder-only and encoder–decoder models remain underexplored.",Included PDF: https://dl.acm.org/doi/epdf/10.1145/3802827
SS015,Automatic Unit Test Generation for Programming Assignments Using Large Language Models,"Kai Zheng, Yuanyang Shen, Yida Tao",2025,2025 IEEE/ACM International Conference on Software Engineering Education and Training ,Semantic Scholar,String A,10.1109/CSEET66350.2025.00031,https://ieeexplore.ieee.org/document/11024401/,"The feasibility of using Large Language Models to automate the assessment of programming assignments is explored and two approaches are proposed: the plain approach that uses GPT-4o-mini in a vanilla setting, and the augmented approach that integrates additional strategies such as tailored prompts with syntax and semantic constraints.",
SS016,From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation,"Aminata Diop, Fadel Touré, Mourad Badri",2025,Proceedings of the 2025 7th World Symposium on Software Engineering,Semantic Scholar,String A,10.1145/3779657.3779658,https://dl.acm.org/doi/10.1145/3779657.3779658,"This work proposes a novel approach referred as Two-Step Zero-Shot Prompting (2SZSP), which leverages large language models (LLMs) to structure test generation by identifying relevant test scenarios and generating the corresponding unit test code.",Included PDF: https://dl.acm.org/doi/epdf/10.1145/3779657.3779658
SS017,An initial investigation of ChatGPT unit test generation capability,"Vitor Guilherme, Auri Vincenzi",2023,8th Brazilian Symposium on Systematic and Automated Software Testing,Semantic Scholar,String A,10.1145/3624032.3624035,https://dl.acm.org/doi/10.1145/3624032.3624035,The findings revealed that the OpenAI LLM test set demonstrated similar performance across all evaluated aspects compared to traditional automated Java test generation tools used in the previous research.,Included PDF: https://dl.acm.org/doi/epdf/10.1145/3624032.3624035
