id ,title,authors,year,venue,database,search string,doi,url,v1_decision,v1_reason,v2_decision,v2_reason
SS014,"AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5","Kumar, Chandan; Sri Ponaka, Usha; Naidu, Pula V. Lakshmi Narasimha; Bhuvaneswari, Pyatlo; Prasad, Mukesh; Singh, Sunil Kumar",2025,IEEE Access,Semantic Scholar,String A,10.1109/ACCESS.2025.3637221,https://ieeexplore.ieee.org/document/11269709/,INCLUDE,"Fit all inclusion criterias, no exclusion criterias apply",INCLUDE,"Fit all inclusion criteria; evaluates GPT-4o on Java unit test generation, reporting both branch coverage and mutation score."
SS032,Automatic Unit Test Generation for Programming Assignments Using Large Language Models,"Zheng, Kaisheng; Shen, Yuanyang; Tao, Yida",2025,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&amp;T),Semantic Scholar,String A,10.1109/CSEET66350.2025.00031,https://ieeexplore.ieee.org/document/11024401/,INCLUDE,"Fit all inclusion criterias, no exclusion criterias apply",INCLUDE,"Fit all inclusion criteria; evaluates GPT-4o-mini on Python programming assignments, reporting both branch coverage and mutation score compared to developer-written tests."
SS040,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"Huang, Dong; Zhang, Jie M.; Harman, Mark; Zhang, Qianru; Du, Mingzhe; Ng, See-Kiong",2026,ACM Transactions on Software Engineering and Methodology,Semantic Scholar,String A,10.1145/3805043,https://dl.acm.org/doi/10.1145/3805043,INCLUDE,"Fit all inclusion criterias, no exclusion criterias apply",INCLUDE,"Fit all inclusion criteria; evaluates GPT-4o on Java functions, reporting branch coverage and mutation score compared to human-written reference tests."
SS047,Clarifying Semantics of In-Context Examples for Unit Test Generation,"Yang, Chen; Yang, Lin; Wang, Ziqi; Wang, Dong; Zhou, Jianyi; Chen, Junjie",2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),Semantic Scholar,String A,10.1109/ASE63991.2025.00250,https://ieeexplore.ieee.org/document/11334234/,UNSURE,Evaluates LLM-based unit test generation with in-context learning; need full text to confirm GPT-4 usage and branch coverage/mutation metrics,INCLUDE,"Fit all inclusion criteria; evaluates GPT-4 for Java unit test generation, reporting both branch coverage and mutation score compared to developer-written tests."
SS080,Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek,"Cabral, Pedro Fernando Marinho; Arruda, João Pedro Souza; Souza, Cleidson Ronald Botelho De; Pinto, Victor Hugo Santiago Costa",2025,Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025),Semantic Scholar,String A,10.5753/sbqs.2025.13792,https://sol.sbc.org.br/index.php/sbqs/article/view/39001,INCLUDE,"Fit all inclusion criterias, no exclusion criterias apply",INCLUDE,"Fit all inclusion criteria; evaluates GPT-4o for Java unit test generation, reporting branch coverage and mutation score compared to developer-written tests."
SS109,Hallucination to Consensus: Multi-Agent LLMs for End-to-End JUnit Test Generation,"Xu, Qinghua; Wang, Guancheng; Briand, Lionel; Liu, Kui",2026,ACM Transactions on Software Engineering and Methodology,Semantic Scholar,String A,10.1145/3803418,https://dl.acm.org/doi/10.1145/3803418,INCLUDE,"Fit all inclusion criterias, no exclusion criterias apply",INCLUDE,"Fit all inclusion criteria; evaluates GPT-4 on Java unit test generation, reporting both branch coverage and mutation score compared to human-written developer tests."
SS119,IntelliUnitGen: A Unit Test Case Generation Framework Based on the Integration of Static Analysis and Prompt Learning,"Yang, Zhuoying; Wang, Lei",2025,IEEE Access,Semantic Scholar,String A,10.1109/ACCESS.2025.3615990,https://ieeexplore.ieee.org/document/11184836/,UNSURE,Integrates static analysis and LLM prompt learning for unit test case generation; need full text to confirm GPT-4 usage and branch coverage/mutation metrics,INCLUDE,"Fit all inclusion criteria; evaluates GPT-4 for Java unit test generation, reporting both branch coverage and mutation score compared to developer-written tests."
SS131,Leveraging Long Method Decomposition to Improve Large Language Model-Based Test Case Generation,"Qi, Rongzhi; Shen, Zhiyu; Li, Yadi",2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",Semantic Scholar,String A,10.1109/SMC58881.2025.11343523,https://ieeexplore.ieee.org/document/11343523/,INCLUDE,"Fit all inclusion criterias, no exclusion criterias apply",INCLUDE,"Fit all inclusion criteria; evaluates GPT-4 on Java long methods, reporting branch coverage and mutation score compared to developer-written tests."
SS137,LLMLOOP: Improving LLM-Generated Code and Tests Through Automated Iterative Feedback Loops,"Ravi, Ravin; Bradshaw, Dylan; Ruberto, Stefano; Jahangirova, Gunel; Terragni, Valerio",2025,2025 IEEE International Conference on Software Maintenance and Evolution (ICSME),Semantic Scholar,String A,10.1109/ICSME64153.2025.00109,https://ieeexplore.ieee.org/document/11185878/,UNSURE,"Iteratively refines LLM-generated code and unit tests using mutation analysis; need full text to confirm GPT-4 usage, Java/Python focus, and branch coverage/mutation metrics",INCLUDE,"Fit all inclusion criteria; evaluates GPT-4/GPT-4o on HumanEval-X (including Java/Python), reporting both branch coverage and mutation score compared to ground-truth developer tests."
SS139,LLMs for Automated Unit Test Generation and Assessment in Java: The AgoneTest Framework,"Lops, Andrea; Narducci, Fedelucio; Ragone, Azzurra; Trizio, Michelantonio; Bartolini, Claudio",2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),Semantic Scholar,String A,10.1109/ASE63991.2025.00198,https://ieeexplore.ieee.org/document/11334272/,INCLUDE,"Fit all inclusion criterias, no exclusion criterias apply",INCLUDE,"Fit all inclusion criteria; evaluates GPT-4 on Java unit test generation, reporting branch coverage and mutation score compared to developer-written tests."
