id,title,authors,year,venue,database,doi,url,v1_decision,v1_reason,v2_decision,v2_reason,reviewer
SS001,Mutation-Guided Unit Test Generation with a Large Language Model,"Guancheng Wang, Qinghua Xu, Lionel C. Briand, Kui Liu",2026,IEEE Transactions on Software Engineering,Semantic Scholar,10.1109/TSE.2026.3682975,https://doi.org/10.1109/TSE.2026.3682975,INCLUDE,IC1: English. IC2: 2026 >= 2018. IC3: LLM for unit test generation. IC4: Evaluated on 204 subjects across two Java benchmarks. IC5: Mutation score reported (89.5%). IC6: Java code evaluated. No exclusion criteria apply.,INCLUDE,Full text confirmed: Peer-reviewed IEEE TSE journal. Evaluates MUTGEN on 204 Java subjects (HumanEval-Java + LeetCode-Java). Reports mutation scores of 89.5% and 89.1%. Directly relevant to answering our RQ on GPT-4 coverage and mutation score targets. No full-text exclusion criteria triggered.,Person 4
SS003,CODAMOSA: Escaping Coverage Plateaus in Test Generation with Pre-Trained Large Language Models,"Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",2023,ICSE 2023 (IEEE/ACM International Conference on Software Engineering),Semantic Scholar,10.1109/ICSE48619.2023.00085,https://ieeexplore.ieee.org/document/10172800/,INCLUDE,IC1: English. IC2: 2023 >= 2018. IC3: LLM (Codex) + SBST for unit test generation. IC4: Evaluated on 486 Python modules. IC5: Branch and statement coverage reported. IC6: Python code evaluated. No exclusion criteria apply.,EXCLUDE,"EC6: Evaluates Codex (now deprecated) rather than GPT-4, and does not evaluate mutation score.",Person 4
SS004,Effective Test Generation Using Pre-Trained Large Language Models and Mutation Testing (MuTAP),"Arghavan Moradi Dakhel, Amin Nikanjam, Vahid Majdinasab, Foutse Khomh, Michel C. Desmarais",2024,Information and Software Technology,Semantic Scholar,10.1016/j.infsof.2024.107468,https://arxiv.org/abs/2308.16557,INCLUDE,IC1: English. IC2: 2024 >= 2018. IC3: LLM-based test generation with mutation testing. IC4: Clear experiment with multiple benchmarks. IC5: Mutation score (93.57%) reported. IC6: Python code evaluated. No exclusion criteria apply.,INCLUDE,Full text confirmed: Peer-reviewed IST journal. Evaluates MuTAP on Python using GPT-3.5 and Codex. Reports a 93.57% mutation score (O target) using mutation-feedback prompting. Serves as a highly useful comparator for mutation-guided prompting in Python. No full-text exclusion criteria triggered.,Person 4
SS005,ChatUniTest: A Framework for LLM-Based Test Generation,"Yinghao Chen, Zehao Hu, Chen Zhi, Junxiao Han, Shuiguang Deng, Jianwei Yin",2024,FSE Companion 2024 (ACM),Semantic Scholar,10.1145/3663529.3663801,https://arxiv.org/abs/2305.04764,INCLUDE,IC1: English. IC2: 2024 >= 2018. IC3: LLM (ChatGPT) for automated unit test generation. IC4: Evaluated on Java projects with comparison to EvoSuite/TestSpark. IC5: Branch coverage (90.6%) and line coverage (89.36%) reported. IC6: Java code evaluated. No exclusion criteria apply.,EXCLUDE,"EC6: Evaluates GPT-3.5 (ChatGPT) rather than GPT-4, and does not evaluate mutation score.",Person 4
SS006,LLMs and Prompting for Unit Test Generation: A Large-Scale Evaluation,"Wendkûuni C. Ouédraogo, Kader Kabore, Haoye Tian, Yewei Song, Anil Koyuncu, Jacques Klein, David Lo, Tégawendé F. Bissyandé",2024,ASE 2024 (IEEE/ACM International Conference on Automated Software Engineering),Semantic Scholar,10.1145/3691620.3695330,https://dl.acm.org/doi/10.1145/3691620.3695330,INCLUDE,IC1: English. IC2: 2024 >= 2018. IC3: Multiple LLMs evaluated for unit test generation. IC4: 216300 tests generated for 690 Java classes using 4 LLMs and 5 prompt strategies. IC5: Branch coverage (30.22%) and mutation score (40.21%) reported. IC6: Java code evaluated. No exclusion criteria apply.,INCLUDE,Full text confirmed: Peer-reviewed ASE 2024 top-tier venue. Directly evaluates GPT-4 on Java classes. Reports branch coverage (30.22%) and mutation score (40.21%) across prompt types. Highly relevant PICO-aligned baseline. No full-text exclusion criteria triggered.,Person 4
SS007,HITS: High-Coverage LLM-Based Unit Test Generation via Method Slicing,"Zejun Wang, Kaibo Liu, Ge Li, Zhi Jin",2024,ASE 2024 (IEEE/ACM International Conference on Automated Software Engineering),Semantic Scholar,10.1145/3691620.3695022,https://arxiv.org/abs/2408.11324,INCLUDE,IC1: English. IC2: 2024 >= 2018. IC3: LLM-based unit test generation using method slicing. IC4: Evaluated on Java projects from existing SOTA benchmarks. IC5: Line and branch coverage reported and compared with EvoSuite. IC6: Java code evaluated. No exclusion criteria apply.,INCLUDE,Full text confirmed: Peer-reviewed ASE 2024. Evaluates GPT-4 on complex Java methods. Directly addresses cyclomatic complexity (P) by demonstrating that method slicing decomposes complex methods to achieve high branch coverage. No full-text exclusion criteria triggered.,Person 4
SS008,CoverUp: Effective High Coverage Test Generation for Python,"Juan Altmayer Pizzorno, Emery D. Berger",2025,Proceedings of the ACM on Software Engineering (FSE 2025),Semantic Scholar,10.1145/3729398,https://arxiv.org/abs/2403.16218,INCLUDE,IC1: English. IC2: 2025 >= 2018. IC3: LLM-based test generation guided by coverage. IC4: Benchmark of challenging Python open-source projects evaluated. IC5: Line+branch coverage (80% per-module median; 89% overall) reported. IC6: Python code evaluated. No exclusion criteria apply.,INCLUDE,Full text confirmed: Peer-reviewed ACM FSE 2025. Evaluates GPT-4o on Python modules. Shows that coverage-guided iterative feedback achieves a median 80% and overall 89% branch coverage (exceeding the >=80% O target). No full-text exclusion criteria triggered.,Person 4
SS009,TestGenEval: A Real World Unit Test Generation and Test Completion Benchmark,"Kush Jain, Gabriel Synnaeve, Baptiste Rozière",2025,ICLR 2025,Semantic Scholar,10.48550/arXiv.2410.00752,https://arxiv.org/abs/2410.00752,INCLUDE,IC1: English. IC2: 2025 >= 2018. IC3: Benchmark for evaluating LLMs on unit test generation. IC4: 68647 tests across 1210 code-test file pairs from 11 Python repos evaluated. IC5: Code coverage and mutation score reported (GPT-4o avg 35.2% coverage). IC6: Python code evaluated. No exclusion criteria apply.,INCLUDE,Full text confirmed: Peer-reviewed ICLR 2025. Evaluates GPT-4o on complex real-world Python code. Directly compares to manually written developer tests (C) for both coverage (35.2%) and mutation scores. Critically relevant baseline. No full-text exclusion criteria triggered.,Person 4
SS010,TestSpark: IntelliJ IDEA's Ultimate Test Generation Companion,"Arkadii Sapozhnikov, Mitchell Olsthoorn, Annibale Panichella, Vladimir Kovalenko, Pouria Derakhshanfar",2024,ICSE Companion 2024 (IEEE/ACM),Semantic Scholar,10.1145/3639478.3640024,https://arxiv.org/abs/2401.06580,INCLUDE,IC1: English. IC2: 2024 >= 2018. IC3: LLM + EvoSuite + Kex integration for unit test generation. IC4: Experimental comparison across tools with real Java datasets. IC5: Mutation score and branch/line coverage compared across generation strategies. IC6: Java code evaluated. No exclusion criteria apply.,EXCLUDE,EC6: Companion tool paper demonstrating TestSpark; lacks rigorous PICO-aligned empirical evaluation data for GPT-4.,Person 4
SS011,"AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5","Chandan Kumar, Usha Sri Ponaka, P. V. L. N. Naidu, P. Bhuvaneswari, Mukesh Prasad, Sunil Kumar Singh",2025,IEEE Access,Semantic Scholar,10.1109/ACCESS.2025.3637221,https://ieeexplore.ieee.org/document/11269709/,INCLUDE,IC1: English. IC2: 2025 >= 2018. IC3: AI for unit test generation (multi-LLM chaining). IC4: Evaluated on HumanEval-Java. IC5: Branch coverage (99.05%) and mutation coverage (94.32%) reported. IC6: Java code evaluated. No exclusion criteria apply.,INCLUDE,"Full text confirmed: Peer-reviewed IEEE Access Open Access journal. Evaluates LLM chaining of GPT-4o, Gemini, and Claude-3.5 Sonnet on HumanEval-Java using JaCoCo and PIT. Reports extremely high branch coverage (99.05%) and mutation coverage (94.32%). Meets both O targets, showing multi-LLM chaining exceeds single model limits. No full-text exclusion criteria triggered.",Person 4
SS013,LLMs for Automated Unit Test Generation and Assessment in Java: The AgoneTest Framework,"Andrea Lops, Fedelucio Narducci, Azzurra Ragone, Michelantonio Trizio, Claudio Bart",2025,2025 IEEE/ACM International Conference on Automated Software Engineering (ASE),Semantic Scholar,10.1109/ASE63991.2025.00198,https://ieeexplore.ieee.org/document/11334272/,INCLUDE,"IC1: English. IC2: 2025 >= 2018. IC3: LLM unit test generation and assessment. IC4: Evaluated via AgoneTest framework on Java projects. IC5: Compilation rate, coverage, and mutation score reported. IC6: Java code evaluated. No exclusion criteria apply.",EXCLUDE,EC6: Evaluation framework paper (AgoneTest) rather than a direct empirical evaluation of GPT-4 vs manually written tests.,Person 4
SS016,From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation,"Aminata Diop, Fadel Touré, Mourad Badri",2025,Proceedings of the 2025 7th World Symposium on Software Engineering,Semantic Scholar,10.1145/3779657.3779658,https://dl.acm.org/doi/10.1145/3779657.3779658,INCLUDE,IC1: English. IC2: 2025 >= 2018. IC3: Structured prompting for LLM unit test generation. IC4: Evaluated on Java focal methods (WSSE '25). IC5: Statement and branch coverage and mutation testing reported. IC6: Java code evaluated. No exclusion criteria apply.,EXCLUDE,EC6: Focuses on structured prompting techniques rather than a direct evaluation of GPT-4 vs manually written tests.,Person 4
SS017,An initial investigation of ChatGPT unit test generation capability,"Vitor Guilherme, Auri Vincenzi",2023,8th Brazilian Symposium on Systematic and Automated Software Testing,Semantic Scholar,10.1145/3624032.3624035,https://dl.acm.org/doi/10.1145/3624032.3624035,INCLUDE,IC1: English. IC2: 2023 >= 2018. IC3: ChatGPT unit test generation capability assessment. IC4: Empirical evaluation of ChatGPT on Java classes. IC5: Coverage and bug detection compared with traditional Java testing tools. IC6: Java code evaluated. No exclusion criteria apply.,EXCLUDE,"EC6: Evaluates early ChatGPT (GPT-3.5) capability instead of GPT-4, and does not evaluate mutation score.",Person 4
