id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
ACM001,"An Initial Investigation of ChatGPT Unit Test Generation Capability","Yuan et al.",2023,"ACM Conference/Workshop","String A","INCLUDE","IC1, IC2, IC4 - related to ChatGPT-based unit test generation and evaluates test quality using coverage/mutation metrics","Include","Full-text available; directly studies ChatGPT unit test generation and reports coverage/mutation-related evaluation"
ACM002,"Evaluating and Improving ChatGPT for Unit Test Generation","Tang et al.",2024,"ACM Transactions on Software Engineering and Methodology","String A","INCLUDE","IC1, IC2, IC4 - directly evaluates and improves ChatGPT for unit test generation","Include","Full-text available; directly aligned with LLM-based unit test generation and improvement of generated tests"
ACM003,"Unit Test Generation using Generative AI: A Comparative Performance Analysis of Autogeneration Tools","Unknown",2024,"LLM4Code / ACM","String A","INCLUDE","IC1, IC2 - focuses on generative AI tools for automated unit test generation","Include","Relevant comparative study of generative AI tools for unit test generation"
ACM004,"On the Evaluation of Large Language Models in Unit Test Generation","Unknown",2024,"ASE / ACM","String A","INCLUDE","IC1, IC2, IC4 - studies evaluation of LLMs in unit test generation","Include","Directly evaluates LLMs for unit test generation and is useful for benchmark/evaluation discussion"
ACM005,"Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback","Unknown",2025,"ACM Transactions on Software Engineering and Methodology","String A","INCLUDE","IC1, IC2, IC4 - uses LLM prompting and coverage feedback for automated unit test generation","Include","Strongly relevant because it uses coverage feedback to improve automated unit test generation"
ACM006,"PRIMG: Efficient LLM-driven Test Generation Using Mutant Information","Unknown",2025,"ACM Conference/Workshop","String C","INCLUDE","IC1, IC2, IC4 - highly relevant to LLM-driven test generation and mutation testing","Include","Strongly relevant because it connects LLM-driven test generation with mutant information/mutation testing"
ACM007,"Benchmarking LLMs for Unit Test Generation from Real-World Functions","Unknown",2025,"ACM Transactions / Journal","String A","INCLUDE","IC1, IC2, IC4 - benchmarks LLMs for unit test generation using coverage and mutation score","Include","Highly relevant benchmark paper using real-world functions and evaluation metrics such as coverage/mutation score"
ACM008,"Effective Test Generation Using Pre-trained Large Language Models","Unknown",2024,"Information and Software Technology","String C","INCLUDE","IC1, IC2 - related to test generation using pre-trained LLMs","Include","Relevant background paper on pre-trained LLMs for software test generation"
ACM009,"ChatUniTest: A ChatGPT-based Automated Unit Test Generation Tool","Unknown",2023,"arXiv / Tool Paper","String B","INCLUDE","IC1, IC2 - presents a ChatGPT-based automated unit test generation tool","Include","Relevant tool paper for ChatGPT-based automated unit test generation"
ACM010,"Software Testing with Large Language Models","Wang et al.",2024,"Survey / Preprint","String C","INCLUDE","IC1, IC3 - survey paper useful for background on LLMs in software testing","Include","Useful survey/background paper covering LLM applications in software testing"
ACM011,"A Survey on Large Language Models for Software Testing","Unknown",2024,"Survey Paper","String C","INCLUDE","IC1, IC3 - survey paper related to LLM applications in software testing","Include","Useful related-work survey for positioning the SLR and identifying research gaps"
